"source_file","output_text","input_tokens","output_tokens"
"KINX2020050914_visualinfo.json","```json
[]
```","387","6"
"KINX2020111123_visualinfo.json","```json
[]
```","391","6"
"KINX2021001194_visualinfo.json","```json
[9, 11]
```","707","11"
"KINX2021001195_visualinfo.json","```json
[11]
```","796","8"
"KINX2021010573_visualinfo.json","```json
[9]
```","876","8"
"KINX2021013203_visualinfo.json","```json
[8, 9, 10]
```","858","14"
"KINX2021014226_visualinfo.json","```json
[8, 9, 10]
```","797","14"
"KINX2021014818_visualinfo.json","```json
[5, 6, 7]
```","783","14"
"KINX2021036211_visualinfo.json","```json
[6, 7, 8]
```","734","14"
"KINX2021060496_visualinfo.json","```json
[9, 10, 11, 12]
```","828","17"
"KINX2021062820_visualinfo.json","```json
[5, 6, 7]
```","686","14"
"KINX2021069890_visualinfo.json","```json
[10]
```","786","8"
"KINX2021084686_visualinfo.json","```json
[5, 6, 7, 8]
```","851","17"
"KINX2021091601_visualinfo.json","```json
[8, 9, 10]
```","758","14"
"KINX2021116965_visualinfo.json","```json
[8, 9, 10]
```","748","14"
"KINX2021125521_visualinfo.json","```json
[9, 10, 11]
```","765","14"
"KINX2021144293_visualinfo.json","```json
[6, 7, 9]
```","836","14"
"KINX2021160429_visualinfo.json","```json
[7, 8, 9]
```","816","14"
"KINX2021183197_visualinfo.json","```json
[6, 7, 8]
```","786","14"
"KINX2021188922_visualinfo.json","```json
[7, 8, 9]
```","806","14"
"KINX2021207945_visualinfo.json","```json
[7, 8, 9]
```","860","14"
"KINX2021224209_visualinfo.json","```json
[8, 9, 10]
```","836","14"
"KINX2021247517_visualinfo.json","```json
[7, 8, 9]
```","846","14"
"KINX2021248415_visualinfo.json","```json
[7, 8, 9]
```","801","14"
"KINX2021249493_visualinfo.json","```json
[11]
```","906","8"
"KINX2021250153_visualinfo.json","```json
[8, 9, 10]
```","755","14"
"KINX2022000438_visualinfo.json","```json
[10, 11, 12]
```","980","14"
"KINX2022009042_visualinfo.json","```json
[9, 10, 11]
```","688","14"
"KINX2022009733_visualinfo.json","```json
[7, 8, 9]
```","886","14"
"KINX2022010269_visualinfo.json","```json
[7, 8, 9]
```","767","14"
"KINX2022025567_visualinfo.json","```json
[7, 8, 9]
```","839","14"
"KINX2022028653_visualinfo.json","```json
[7, 8, 9]
```","939","14"
"KINX2022050611_visualinfo.json","```json
[10, 14]
```","907","11"
"KINX2022069049_visualinfo.json","```json
[8, 9, 10]
```","949","14"
"KINX2022085283_visualinfo.json","```json
[7, 8, 9]
```","892","14"
"KINX2022093814_visualinfo.json","```json
[9]
```","918","8"
"KINX2022099387_visualinfo.json","```json
[7, 8, 9]
```","919","14"
"KINX2022116385_visualinfo.json","```json
[8, 9, 10]
```","870","14"
"KINX2022135472_visualinfo.json","```json
[7, 8, 9]
```","864","14"
"KINX2022143962_visualinfo.json","```json
[9]
```","848","8"
"KINX2022154283_visualinfo.json","```json
[7, 8, 9]
```","1071","14"
"KINX2022171821_visualinfo.json","```json
[10]
```","793","8"
"KINX2022185585_visualinfo.json","```json
[7, 8]
```","970","11"
"KINX2022194720_visualinfo.json","```json
[7, 8, 9]
```","872","14"
"KINX2022213684_visualinfo.json","```json
[111, 8]
```","857","11"
"KINX2022233035_visualinfo.json","```json
[7, 8, 9]
```","946","14"
"KINX2022239821_visualinfo.json","```json
[7, 9]
```","952","11"
"KINX2022241561_visualinfo.json","```json
[8, 9, 10]
```","853","14"
"KINX2022242304_visualinfo.json","```json
[7, 8, 9]
```","862","14"
"KINX2022251336_visualinfo.json","```json
[9]
```","911","8"
"KINX2023001238_visualinfo.json","```json
[11]
```","1036","8"
"KINX2023009822_visualinfo.json","```json
[9, 10, 11]
```","868","14"
"KINX2023010068_visualinfo.json","```json
[9, 10, 11]
```","830","14"
"KINX2023024240_visualinfo.json","```json
[8, 9, 10]
```","853","14"
"KINX2023026358_visualinfo.json","```json
[11, 14, 15]
```","829","14"
"KINX2023033645_visualinfo.json","```json
[9, 10, 11]
```","1077","14"
"KINX2023045473_visualinfo.json","```json
[12]
```","898","8"
"KINX2023071962_visualinfo.json","```json
[9, 10, 11]
```","1030","14"
"KINX2023084782_visualinfo.json","```json
[9, 10, 11]
```","842","14"
"KINX2023104970_visualinfo.json","```json
[10, 11, 12]
```","886","14"
"KINX2023108514_visualinfo.json","```json
[9, 10, 11]
```","956","14"
"KINX2023127584_visualinfo.json","```json
[12]
```","1145","8"
"KINX2023142073_visualinfo.json","```json
[9, 10, 11, 12]
```","1043","17"
"KINX2023149254_visualinfo.json","```json
[9, 10, 11]
```","1096","14"
"KINX2023166043_visualinfo.json","```json
[13]
```","1002","8"
"KINX2023172903_visualinfo.json","```json
[10, 11, 12]
```","1064","14"
"KINX2023182440_visualinfo.json","```json
[10, 11, 12]
```","1009","14"
"KINX2023184381_visualinfo.json","```json
[8, 9, 10]
```","793","14"
"KINX2023193136_visualinfo.json","```json
[12, 13, 14]
```","947","14"
"KINX2023210511_visualinfo.json","```json
[9, 10, 11]
```","852","14"
"KINX2023216785_visualinfo.json","```json
[10, 11, 12]
```","871","14"
"KINX2023218104_visualinfo.json","```json
[10, 11, 12]
```","904","14"
"KINX2024006069_visualinfo.json","```json
[9]
```","1016","8"
"KINX2024008426_visualinfo.json","```json
[12, 13, 14]
```","959","14"
"KINX2024008704_visualinfo.json","```json
[8, 9]
```","963","11"
"KINX2024023261_visualinfo.json","```json
[6]
```","591","8"
"KINX2024023620_visualinfo.json","```json
[5, 6]
```","1115","11"
"KINX2024023624_visualinfo.json","```json
[6, 7]
```","1080","11"
"KINX2024040946_visualinfo.json","```json
[12, 13, 14]
```","1032","14"
"KINX2024041830_visualinfo.json","```json
[5, 6]
```","800","11"
"KINX2024043681_visualinfo.json","```json
[6, 7, 8]
```","1082","14"
"KINX2024047746_visualinfo.json","```json
[5, 6, 7]
```","1286","14"
"KINX2024059553_visualinfo.json","```json
[5, 6]
```","959","11"
"KINX2024061585_visualinfo.json","```json
[6, 7, 11]
```","903","14"
"KINX2024062497_visualinfo.json","```json
[5, 6]
```","952","11"
"KINX2024065000_visualinfo.json","```json
[5, 6]
```","1074","11"
"KINX2024066161_visualinfo.json","```json
[6, 7, 8]
```","1192","14"
"KINX2024078076_visualinfo.json","```json
[5, 6]
```","1193","11"
"KINX2024081643_visualinfo.json","```json
[5, 6]
```","1011","11"
"KINX2024088018_visualinfo.json","```json
[6, 7]
```","826","11"
"KINX2024088205_visualinfo.json","```json
[5, 6]
```","1331","11"
"KINX2024092555_visualinfo.json","```json
[5, 6]
```","1040","11"
"KINX2024094520_visualinfo.json","```json
[5, 6]
```","1136","11"
"KINX2024098961_visualinfo.json","```json
[6, 7, 8]
```","1175","14"
"KINX2024107463_visualinfo.json","```json
[5, 6]
```","1095","11"
"KINX2024111294_visualinfo.json","```json
[5, 6]
```","1076","11"
"KINX2024113343_visualinfo.json","```json
[6, 7, 8]
```","1016","14"
"KINX2024114672_visualinfo.json","```json
[5, 6]
```","1169","11"
"KINX2024116346_visualinfo.json","```json
[6, 7]
```","988","11"
"KINX2024116881_visualinfo.json","```json
[5, 6]
```","941","11"
"KINX2024118739_visualinfo.json","```json
[12]
```","910","8"
"KINX2024121049_visualinfo.json","```json
[5, 6]
```","1086","11"
"KINX2024123823_visualinfo.json","```json
[5, 6]
```","1165","11"
"KINX2024134677_visualinfo.json","```json
[6, 7, 8]
```","875","14"
"KINX2024134685_visualinfo.json","```json
[5, 6]
```","1168","11"
"KINX2024139779_visualinfo.json","```json
[5, 6, 7]
```","915","14"
"KINX2024150872_visualinfo.json","```json
[6, 7]
```","1088","11"
"KINX2024151696_visualinfo.json","```json
[5]
```","1010","8"
"KINX2024156109_visualinfo.json","```json
[5, 6]
```","1261","11"
"KINX2024157298_visualinfo.json","```json
[10, 11, 12]
```","997","14"
"KINX2024159491_visualinfo.json","```json
[5, 6]
```","1044","11"
"KINX2024162528_visualinfo.json","```json
[5, 6]
```","1079","11"
"KINX2024175969_visualinfo.json","```json
[6]
```","530","8"
"KINX2024177334_visualinfo.json","```json
[7]
```","1055","8"
"KINX2024178314_visualinfo.json","```json
[5, 6, 7]
```","1008","14"
"KINX2024180798_visualinfo.json","```json
[6, 7]
```","986","11"
"KINX2024184760_visualinfo.json","```json
[5, 6]
```","880","11"
"KINX2024186613_visualinfo.json","```json
[5, 6]
```","598","11"
"KINX2024195326_visualinfo.json","```json
[5, 6]
```","1257","11"
"KINX2024198159_visualinfo.json","```json
[6, 7, 8]
```","1021","14"
"KINX2024198744_visualinfo.json","```json
[7, 9]
```","924","11"
"KINX2024198879_visualinfo.json","```json
[5, 6]
```","1330","11"
"KINX2024209219_visualinfo.json","```json
[6, 7]
```","1032","11"
"KINX2024209243_visualinfo.json","```json
[5, 6, 7]
```","1212","14"
"KINX2024209597_visualinfo.json","```json
[6, 7, 8, 9]
```","964","17"
"KINX2024209813_visualinfo.json","```json
[5, 6]
```","1094","11"
"KINX2024210050_visualinfo.json","```json
[5, 6]
```","1164","11"
"KINX2024210493_visualinfo.json","```json
[5, 6]
```","1250","11"
"KINX2024210965_visualinfo.json","```json
[6, 7]
```","1050","11"
"KINX2024219737_visualinfo.json","```json
[5, 6]
```","987","11"
"KINX2024219856_visualinfo.json","```json
[5, 6]
```","1441","11"
"KINX2024220065_visualinfo.json","```json
[6, 7, 8]
```","1029","14"
"KINX2024220309_visualinfo.json","```json
[5, 6]
```","1049","11"
"KINX2024220670_visualinfo.json","```json
[5, 6, 8]
```","854","14"
"KINX2024220908.pdf_visualinfo.json","```json
[5, 7]
```","2089","11"
"KINX2024228145_visualinfo.json","```json
[6, 7]
```","1285","11"
"KINX2025000285_visualinfo.json","```json
[5, 6]
```","1423","11"
"KINX2025001042_visualinfo.json","```json
[6, 7]
```","1092","11"
"KINX2025017020_visualinfo.json","```json
[5, 6]
```","1132","11"
"KINX2025017530_visualinfo.json","```json
[5, 6]
```","1496","11"
"KINX2025032533_visualinfo.json","```json
[5, 6]
```","1744","11"
"KINX2025054792_visualinfo.json","```json
[5, 6]
```","1211","11"
"KINX2025062761_visualinfo.json","```json
[6, 7]
```","1740","11"
"KINX2025077028_visualinfo.json","```json
[5, 6]
```","1375","11"
"KINX2025080664_visualinfo.json","```json
[5, 6]
```","1155","11"
"SERL12025000000008_3422266_visualinfo.json","```json
[5, 6]
```","975","11"
